project,accuracy,precision,recall,f1,f2
academia,0.9634721640056396,0.643027182223138,0.9544496794012728,0.7670733822286036,0.8688976571974608
cs,0.9495408299356018,0.5938450299768145,0.9281318005086181,0.7226612896484618,0.8325789190095074
diy,0.97396639103761,0.8555574836949397,0.9340990485566796,0.8930686852832492,0.917232862219235
expressionengine,0.9726784285333231,0.7663650251269579,0.8987660496898909,0.8272224403687037,0.8686895731227656
judaism,0.9341538696033227,0.6701414681830611,0.8023618463726908,0.7300807200150252,0.7717247053367972
photo,0.9754372594596654,0.8332078548991042,0.9376741334529133,0.8823092245069015,0.9147005324503239
rpg,0.9553023663453111,0.6748844990859186,0.9161785167326736,0.7771675391244035,0.854980041730655
scifi,0.938497885150326,0.793566514127885,0.7996228645308591,0.7965068110086083,0.7983553016836648
ux,0.9310673322409786,0.6160178489705953,0.8564591647207628,0.7165181086507808,0.7943638194237836
webmasters,0.9424379834622565,0.7491777267430049,0.8700058397520506,0.805041134742908,0.8427884459172994
