project,accuracy,precision,recall,f1,f2
apache-ant-1.7.0,0.9614024390243902,0.42339399978372505,0.4228699065577379,0.4101068598889531,0.4141955408202672
apache-jmeter-2.10,0.9780086848635235,0.7964762367799206,0.7088468070477643,0.7472267327273767,0.7231051450487385
argouml,0.9451348492860918,0.8153144293307918,0.8248382360395325,0.8169403027151324,0.8209630890709875
columba-1.4-src,0.9871329211746522,0.8029581451068217,0.8426337066854073,0.815735967333876,0.8293304115104334
emf-2.4.1,0.9741457858769932,0.47790030311703824,0.43870900187404765,0.4496786346107423,0.44138497185785897
hibernate-distribution-3.3.2.GA,0.9433501683501684,0.9080629765951572,0.7226176734239601,0.8039651741393309,0.7529503282916796
jEdit-4.2,0.9702179176755449,0.4133002766148815,0.43793532145774866,0.42216989283869016,0.43068469736384174
jfreechart-1.0.19,0.9710884353741497,0.8741249716519869,0.46831299180177866,0.6047157978725185,0.514247009651036
jruby-1.4.0,0.9737755102040817,0.9173636459429572,0.8694548561138676,0.8925910841139665,0.8785255237748529
sql12,0.9744282744282746,0.716513890704495,0.6127088796877147,0.65707394224413,0.6290503951413646
